None;1;2;3;4;5;6;7;8;9;10
Матрацы;Матрацы;Другие замороженные полуфабрикаты фирменная упаковка;Постельное белье;Кухонная утварь;Средства по уходу за тканями;Туалетная бумага, полотенца, салфетки, скатерти;Курица охлажденная;Хлеб, промышленное производство;Макаронные изделия;Фрукты и ягоды
Мед;Мед;Овощи;Консервы фруктовые;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Яйцо куриное свежее;Пакеты для перепродажи;Зелень свежая;Хлеб, промышленное производство
Мелкая бытовая техника;Мелкая бытовая техника;Пакеты для перепродажи;Заправки;Традиционная молочная продукция;Фрукты и ягоды;Конфеты;Чай;Овощи;Сыры полутвердые сычужные;Курица охлажденная
Морепродукты глубокой заморозки;Морепродукты глубокой заморозки;Пакеты для перепродажи;Зелень свежая;Заправки;Овощи;Фрукты и ягоды;Деликатесы мясные;Сыры полутвердые сычужные;Консервы овощные;Традиционная молочная продукция
Мороженое;Мороженое;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Конфеты;Печенье;Колбасы;Современная молочная продукция;Заправки;Сыры полутвердые сычужные
Мужская обувь;Мужская обувь;Женская обувь;Традиционная молочная продукция;Заправки;Фрукты и ягоды;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Колбасы;Конфеты
Мужская одежда;Мужская одежда;Мужское нижнее белье;Головные уборы;Чай;Резиновая обувь;Заправки;Традиционная молочная продукция;Фрукты и ягоды;Стельки для обуви;Хлеб, промышленное производство
Мужское нижнее белье;Мужское нижнее белье;Традиционная молочная продукция;Пакеты для перепродажи;Заправки;Фрукты и ягоды;Чай;Туалетная бумага, полотенца, салфетки, скатерти;Овощи;Сыры полутвердые сычужные;Курица охлажденная
Мука;Мука;Заправки;Традиционная молочная продукция;Сахар, соль;Овощи;Фрукты и ягоды;Крупы;Яйцо куриное свежее;Макаронные изделия;Сыры полутвердые сычужные
Мыло;Мыло;Туалетная бумага, полотенца, салфетки, скатерти;Средства по уходу за полостью рта;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Средства по уходу за волосами, аксессуары для волос;Чай;Фрукты и ягоды;Средства для стирки
Мясные снэки фасованные;Мясные снэки фасованные;Сырные снэки фасованные;Живое и разливное пиво;Рыба и морепродукты вяленые;Орехи, сухофрукты;Попкорн;Пиво производства России и СНГ;Пакеты для перепродажи;Игрушки;Виски
Мясо глубокой заморозки фирменная упаковка, самообслуживание;Мясо глубокой заморозки фирменная упаковка, самообслуживание;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Колбасы;Курица охлажденная;Макаронные изделия;Яйцо куриное свежее;Сыры полутвердые сычужные;Пакеты для перепродажи
Наполнители;Наполнители;Продукты для животных;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Заправки;Курица охлажденная;Традиционная молочная продукция;Овощи;Макаронные изделия;Упаковочные и подсобные материалы
Новогодние товары;Новогодние товары;Фрукты и ягоды;Пакеты для перепродажи;Сезонные сладости;Традиционная молочная продукция;Конфеты;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Заправки;Сыры полутвердые сычужные
Оборудование для детей;Оборудование для детей;Эксплуатационные жидкости;Товары для новорожденных;Светильники;Детская гигиена;Сидры, медовуха, пуаре;Лососевые глубокой заморозки;Масла;Продукты для здорового питания;Консервы овощные
Оборудование для фитнеса;Оборудование для фитнеса;Теннис;Игрушки;Детская гигиена;Детское нижнее белье;Пакеты для перепродажи;Детская молочная продукция;Конфеты;Жевательная резинка и освежающие драже;Готовое детское питание
Овощи;Овощи;Фрукты и ягоды;Традиционная молочная продукция;Заправки;Пакеты для перепродажи;Зелень свежая;Яйцо куриное свежее;Сыры полутвердые сычужные;Курица охлажденная;Туалетная бумага, полотенца, салфетки, скатерти
Одеяла с наполнителем;Одеяла с наполнителем;Подушки;Постельное белье;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Овощи;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Деликатесы мясные
Одеяла, пледы, покрывала;Одеяла, пледы, покрывала;Конфеты;Традиционная молочная продукция;Фрукты и ягоды;Чай;Туалетная бумага, полотенца, салфетки, скатерти;Заправки;Пакеты для перепродажи;Женское нижнее белье;Средства по уходу за волосами, аксессуары для волос
Одноразовая посуда и сопутствующие товары;Одноразовая посуда и сопутствующие товары;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Соки, нектары, морсы, компоты;Товары для туризма;Заправки;Конфеты;Традиционная молочная продукция;Колбасы;Фрукты и ягоды
Орехи соленые фасованные;Орехи соленые фасованные;Пиво производства России и СНГ;Пакеты для перепродажи;Сухарики фасованные;Живое и разливное пиво;Чипсы;Жевательная резинка и освежающие драже;Соки, нектары, морсы, компоты;Традиционная молочная продукция;Конфеты
Орехи, сухофрукты;Орехи, сухофрукты;Фрукты и ягоды;Традиционная молочная продукция;Пакеты для перепродажи;Овощи;Сыры полутвердые сычужные;Заправки;Яйцо куриное свежее;Конфеты;Современная молочная продукция
Освежители;Освежители;Туалетная бумага, полотенца, салфетки, скатерти;Заправки;Пакеты для перепродажи;Средства по уходу за волосами, аксессуары для волос;Чай;Конфеты;Макаронные изделия;Колбасы;Традиционная молочная продукция
Офисная мебель;Офисная мебель;Товары для интерьера;Слесарно-монтажный инструмент;Головные уборы;Стельки для обуви;Семечки фасованные;Электроинсталляционные товары;Орехи соленые фасованные;Пироги и пицца, собственное производство;Свежие соки ПП
Офисные принадлежности;Офисные принадлежности;Школьные принадлежности;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Фрукты и ягоды;Конфеты;Макаронные изделия;Печенье
Охлажденные рыба и морепродукты обслуживание;Охлажденные рыба и морепродукты обслуживание;Фрукты и ягоды;Овощи;Традиционная молочная продукция;Заправки;Сыры полутвердые сычужные;Пакеты для перепродажи;Курица охлажденная;Деликатесы мясные;Яйцо куриное свежее
Пакеты для перепродажи;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Фрукты и ягоды;Овощи;Курица охлажденная;Яйцо куриное свежее;Хлеб, промышленное производство;Колбасы;Туалетная бумага, полотенца, салфетки, скатерти
Парфюмерия;Парфюмерия;Заправки;Дезодоранты;Средства по уходу за волосами, аксессуары для волос;Овощи;Макаронные изделия;Туалетная бумага, полотенца, салфетки, скатерти;Колбасы;Пакеты для перепродажи;Конфеты
Паштеты и масла рыбные;Паштеты и масла рыбные;Пакеты для перепродажи;Заправки;Традиционная молочная продукция;Деликатесы мясные;Фрукты и ягоды;Колбасы;Современная молочная продукция;Курица охлажденная;Сыры полутвердые сычужные
Паштеты охлажденные, террин и фуа-гра;Паштеты охлажденные, террин и фуа-гра;Колбасы;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Курица охлажденная;Хлеб, промышленное производство;Деликатесы мясные;Конфеты;Сосиски, сардельки, колбаски
Печатная продукция;Печатная продукция;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Другие товары к праздникам;Конфеты;Заправки;Сыры полутвердые сычужные;Туалетная бумага, полотенца, салфетки, скатерти;Чай
Печенье;Печенье;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Пряники, вафли, бисквиты, круассаны длительного хранения;Конфеты;Сыры полутвердые сычужные;Курица охлажденная;Колбасы;Заправки
Пиво производства России и СНГ;Пиво производства России и СНГ;Пакеты для перепродажи;Чипсы;Заправки;Колбасы;Хлеб, промышленное производство;Сигареты;Традиционная молочная продукция;Сухарики фасованные;Соки, нектары, морсы, компоты
Пироги и пицца, производство ФК;Пироги и пицца, производство ФК;Выпечные и сдобные изделия, производство ФК;Хлеб, производство ФК;Хлеб, промышленное производство;Традиционная молочная продукция;Выпечные и сдобные изделия, промышленное производство;Фрукты и ягоды;Пряники, вафли, бисквиты, круассаны длительного хранения;Печенье;Колбасы
Пироги и пицца, собственное производство;Пироги и пицца, собственное производство;Выпечные и сдобные изделия, собственное производство;Холодные блюда готовые с Фабрики Кухни, обслуживание;Традиционная молочная продукция;Пакеты для перепродажи;Фрукты и ягоды;Овощи;Горячие блюда готовые, обслуживание;Конфеты;Деликатесы мясные
Пирожные;Пирожные;Пакеты для перепродажи;Традиционная молочная продукция;Фрукты и ягоды;Конфеты;Овощи;Современная молочная продукция;Сыры полутвердые сычужные;Курица охлажденная;Выпечные и сдобные изделия, собственное производство
Плавленые сыры и сырные продукты;Плавленые сыры и сырные продукты;Традиционная молочная продукция;Заправки;Колбасы;Фрукты и ягоды;Конфеты;Хлеб, промышленное производство;Овощи;Пакеты для перепродажи;Чай
Пластиковая посуда;Пластиковая посуда;Кухонная утварь;Пакеты для перепродажи;Емкости для пищи;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Овощи;Фрукты и ягоды;Традиционная молочная продукция;Средства по уходу за волосами, аксессуары для волос
Платки носовые текстильные;Платки носовые текстильные;Пластиковая посуда;Одеяла с наполнителем;Светильники;Слесарно-монтажный инструмент;Мужская обувь;Другие строительные товары;Одноразовая посуда и сопутствующие товары;Конфеты в коробках;Головные уборы
Подушки;Подушки;Одеяла с наполнителем;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Пакеты для перепродажи;Конфеты;Туалетная бумага, полотенца, салфетки, скатерти;Овощи;Чай
Полотенца;Полотенца;Фрукты и ягоды;Традиционная молочная продукция;Конфеты;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Заправки;Овощи;Хлеб, промышленное производство;Колбасы
Полуфабрикаты из рыбы глубокой заморозки;Полуфабрикаты из рыбы глубокой заморозки;Традиционная молочная продукция;Заправки;Овощи;Фрукты и ягоды;Курица охлажденная;Сыры полутвердые сычужные;Чай;Пакеты для перепродажи;Крупы
Полуфабрикаты мясные охлажденные;Полуфабрикаты мясные охлажденные;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Колбасы;Курица охлажденная;Фрукты и ягоды;Деликатесы мясные;Овощи;Свинина охлажденная
Попкорн;Попкорн;Пакеты для перепродажи;Чипсы;Заправки;Конфеты;Фрукты и ягоды;Традиционная молочная продукция;Макаронные изделия;Современная молочная продукция;Лимонады
Посадочный материал;Посадочный материал;Традиционная молочная продукция;Грунты, удобрения, средства;Фрукты и ягоды;Конфеты;Заправки;Деликатесы мясные;Колбасы;Сыры полутвердые сычужные;Чай
Постельное белье;Постельное белье;Заправки;Пакеты для перепродажи;Курица охлажденная;Традиционная молочная продукция;Фрукты и ягоды;Колбасы;Конфеты;Чай;Овощи
Посуда детская;Посуда детская;Печатная продукция;Традиционная молочная продукция;Холодные блюда готовые, фирменная упаковка, самообслуживание;Конфеты;Фрукты и ягоды;рыба и морепродукты вяленые фирменная упаковка;Пряники, вафли, бисквиты, круассаны длительного хранения;Баранки, сушки, сухари, галеты;Овощи
Посуда для приготовления;Посуда для приготовления;Традиционная молочная продукция;Заправки;Фрукты и ягоды;Чай;Конфеты;Кухонная утварь;Овощи;Пакеты для перепродажи;Сыры полутвердые сычужные
Посуда столовая;Посуда столовая;Пакеты для перепродажи;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Чай;Туалетная бумага, полотенца, салфетки, скатерти;Кухонная утварь;Конфеты;Овощи
Пресервы рыбные и из морепродуктов;Пресервы рыбные и из морепродуктов;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Овощи;Колбасы;Деликатесы мясные;Сыры полутвердые сычужные;Хлеб, промышленное производство;Пакеты для перепродажи
Пресса;Пресса;Традиционная молочная продукция;Фрукты и ягоды;Овощи;Конфеты;Чай;Колбасы;Заправки;Хлеб, промышленное производство;Туалетная бумага, полотенца, салфетки, скатерти
Приправы и специи;Приправы и специи;Заправки;Пакеты для перепродажи;Овощи;Макаронные изделия;Традиционная молочная продукция;Курица охлажденная;Чай;Фрукты и ягоды;Сахар, соль
Продукты быстрого приготовления;Продукты быстрого приготовления;Пакеты для перепродажи;Заправки;Макаронные изделия;Сахар, соль;Традиционная молочная продукция;Колбасы;Хлеб, промышленное производство;Чай;Конфеты
Продукты для беременных и кормящих мам;Продукты для беременных и кормящих мам;Спортивные игры с мячом;Заменители молока;Детская гигиена;Товары для новорожденных;Детская каша;Сыры полутвердые сычужные;Телятина охлажденная;Печенье;Свинина охлажденная
Продукты для животных;Продукты для животных;Пакеты для перепродажи;Курица охлажденная;Традиционная молочная продукция;Заправки;Колбасы;Сосиски, сардельки, колбаски;Чай;Овощи;Туалетная бумага, полотенца, салфетки, скатерти
Продукты для здорового питания;Продукты для здорового питания;Традиционная молочная продукция;Пакеты для перепродажи;Современная молочная продукция;Фрукты и ягоды;Печенье;Заправки;Конфеты;Курица охлажденная;Макаронные изделия
Продукты из сурими глубокой заморозки;Продукты из сурими глубокой заморозки;Консервы овощные;Заправки;Традиционная молочная продукция;Колбасы;Сыры полутвердые сычужные;Фрукты и ягоды;Пакеты для перепродажи;Овощи;Курица охлажденная
Продукты из сурими охлажденные фирменная упаковка;Продукты из сурими охлажденные фирменная упаковка;Консервы овощные;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Сыры полутвердые сычужные;Конфеты;Овощи;Колбасы;Фрукты и ягоды
Пряники, вафли, бисквиты, круассаны длительного хранения;Пряники, вафли, бисквиты, круассаны длительного хранения;Традиционная молочная продукция;Печенье;Конфеты;Фрукты и ягоды;Пакеты для перепродажи;Колбасы;Заправки;Хлеб, промышленное производство;Курица охлажденная
Птица копченая;Птица копченая;Деликатесы мясные;Пакеты для перепродажи;Сыры полутвердые сычужные;Консервы овощные;Колбасы;Заправки;Овощи;Традиционная молочная продукция;Фрукты и ягоды
Расходные материалы;Расходные материалы;Компьютерная мультимедиа;Деликатесы мясные;Пакеты для перепродажи;Элементы питания;Туалетная бумага, полотенца, салфетки, скатерти;Фрукты и ягоды;Традиционная молочная продукция;Консервы фруктовые;Заправки
Резервная категория СТОЛОВАЯ;Резервная категория СТОЛОВАЯ;Кофе;Выпечные и сдобные изделия, собственное производство;Попкорн;Вода питьевая;Чипсы;Жевательная резинка и освежающие драже;Семечки фасованные;Горячие блюда готовые с Фабрики Кухни, обслуживание;Лимонады
Резервная категория Сырье и п/ф не для продажи;Резервная категория Сырье и п/ф не для продажи;Зонты;Другая птица охлажденная;Товары для кухни;Икра натуральная;Мужская обувь;Консервы фруктовые;Мармелад;Товары для дома универсальные;Туалетная бумага, полотенца, салфетки, скатерти
Резиновая обувь;Резиновая обувь;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Деликатесы мясные;Колбасы;Сыры полутвердые сычужные;Конфеты;Пакеты для перепродажи;Чай
Ремни, перчатки;Ремни, перчатки;Фрукты и ягоды;Традиционная молочная продукция;Детское нижнее белье;Пакеты для перепродажи;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Конфеты;Детская гигиена;Макаронные изделия
Ролики, аксессуары;Ролики, аксессуары;Товары для Дня рождения;Средства по уходу за полостью рта;Другой ручной инструмент и инвентарь;Сезонная парфюмерно-косметическая продукция;Офисные принадлежности;Пирожные;Школьные принадлежности;Мука;Товары для дома универсальные
Рулеты, кексы, пироги длительного хранения;Рулеты, кексы, пироги длительного хранения;Пакеты для перепродажи;Печенье;Пряники, вафли, бисквиты, круассаны длительного хранения;Конфеты;Традиционная молочная продукция;Колбасы;Заправки;Хлеб, промышленное производство;Макаронные изделия
Рыба и морепродукты вяленые;Рыба и морепродукты вяленые;Пиво производства России и СНГ;Чипсы;Пакеты для перепродажи;Сухарики фасованные;Соки, нектары, морсы, компоты;Лимонады;Жевательная резинка и освежающие драже;Хлеб, промышленное производство;Заправки
Рыба и морепродукты вяленые обслуживание;Рыба и морепродукты вяленые обслуживание;Рыба и морепродукты вяленые собственная упаковка, самообслуживание;Пиво производства России и СНГ;Пакеты для перепродажи;Чипсы;Живое и разливное пиво;Сухарики фасованные;Лимонады;Заправки;Деликатесы мясные
Рыба и морепродукты вяленые собственная упаковка, самообслуживание;Рыба и морепродукты вяленые собственная упаковка, самообслуживание;Рыба и морепродукты вяленые обслуживание;Пиво производства России и СНГ;Пакеты для перепродажи;Живое и разливное пиво;Соки, нектары, морсы, компоты;Заправки;Колбасы;Фрукты и ягоды;Овощи
рыба и морепродукты вяленые фирменная упаковка;рыба и морепродукты вяленые фирменная упаковка;Рыба и морепродукты вяленые обслуживание;Чипсы;Пакеты для перепродажи;Пиво производства России и СНГ;Лимонады;Соки, нектары, морсы, компоты;Заправки;Сухарики фасованные;Традиционная молочная продукция
Рыба и морепродукты глубокой заморозки фирменная упаковка;Рыба и морепродукты глубокой заморозки фирменная упаковка;Традиционная молочная продукция;Фрукты и ягоды;Овощи;Сыры полутвердые сычужные;Курица охлажденная;Заправки;Яйцо куриное свежее;Пакеты для перепродажи;Зелень свежая
Рыба копченая обслуживание;Рыба копченая обслуживание;Фрукты и ягоды;Традиционная молочная продукция;Пакеты для перепродажи;Заправки;Колбасы;Деликатесы мясные;Овощи;Конфеты;Сыры полутвердые сычужные
Рыба копченая фирменная упаковка, самообслуживание;Рыба копченая фирменная упаковка, самообслуживание;Традиционная молочная продукция;Деликатесы мясные;Пакеты для перепродажи;Заправки;Фрукты и ягоды;Колбасы;Овощи;Курица охлажденная;Хлеб, промышленное производство
Рыба соленая обслуживание;Рыба соленая обслуживание;Фрукты и ягоды;Традиционная молочная продукция;Овощи;Заправки;Рыба копченая обслуживание;Колбасы;Охлажденные рыба и морепродукты обслуживание;Деликатесы мясные;Сыры полутвердые сычужные
Рыба соленая собственная упаковка, самообслуживание;Рыба соленая собственная упаковка, самообслуживание;Сокосодержащие безалкогольные напитки;Фрукты и ягоды;Овощи;Традиционная молочная продукция;Заправки;Рыба копченая обслуживание;Охлажденные рыба и морепродукты обслуживание;Пресервы рыбные и из морепродуктов;Рыба соленая обслуживание
Рыба соленая фирменная упаковка, самообслуживание;Рыба соленая фирменная упаковка, самообслуживание;Деликатесы мясные;Традиционная молочная продукция;Фрукты и ягоды;Сыры полутвердые сычужные;Заправки;Овощи;Пакеты для перепродажи;Колбасы;Туалетная бумага, полотенца, салфетки, скатерти
Садовый инвентарь, оборудование  и техника;Садовый инвентарь, оборудование  и техника;Фрукты и ягоды;Традиционная молочная продукция;Посадочный материал;Грунты, удобрения, средства;Заправки;Колбасы;Автопринадлежности;Деликатесы мясные;Конфеты
Санки;Санки;Игрушки;Книги;Детские напитки;Фрукты и ягоды;Фигурный шоколад;Детское нижнее белье;Традиционная молочная продукция;Мука;Колбасы
Сахар, соль;Сахар, соль;Заправки;Традиционная молочная продукция;Пакеты для перепродажи;Макаронные изделия;Овощи;Яйцо куриное свежее;Чай;Хлеб, промышленное производство;Фрукты и ягоды
Свежие соки ПП;Свежие соки ПП;Пакеты для перепродажи;Горячие блюда готовые, обслуживание;Соки, нектары, морсы, компоты;Холодные блюда готовые с Фабрики Кухни, обслуживание;Овощи;Современная молочная продукция;Традиционная молочная продукция;Фрукты и ягоды;Заправки
Светильники;Светильники;Офисные принадлежности;Каши;Элементы питания;Одеяла с наполнителем;Подушки;Книги;Пакеты для перепродажи;Школьные принадлежности;Детская гигиена
Свинина охлажденная;Свинина охлажденная;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Пакеты для перепродажи;Овощи;Колбасы;Курица охлажденная;Яйцо куриное свежее;Деликатесы мясные
Сезонная парфюмерно-косметическая продукция;Сезонная парфюмерно-косметическая продукция;Сезонные сладости;Средства по уходу за волосами, аксессуары для волос;Чай;Конфеты;Фрукты и ягоды;Заправки;Традиционная молочная продукция;Туалетная бумага, полотенца, салфетки, скатерти;Пакеты для перепродажи
Сезонные сладости;Сезонные сладости;Конфеты;Традиционная молочная продукция;Чай;Фрукты и ягоды;Шоколадные плитки;Пряники, вафли, бисквиты, круассаны длительного хранения;Печенье;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти
Семечки фасованные;Семечки фасованные;Пакеты для перепродажи;Традиционная молочная продукция;Фрукты и ягоды;Конфеты;Заправки;Хлеб, промышленное производство;Овощи;Колбасы;Туалетная бумага, полотенца, салфетки, скатерти
Сигареты;Сигареты;Пакеты для перепродажи;Пиво производства России и СНГ;Кофе;Лимонады;Сахар, соль;Заправки;Жевательная резинка и освежающие драже;Колбасы;Хлеб, промышленное производство
Сидры (САНы);Сидры (САНы);Замороженные готовые блюда;Пиво производства России и СНГ;Мармелад;Водка;Пакеты для перепродажи;Фигурный шоколад;Горячие блюда готовые, обслуживание;Другие слабоалкогольные напитки;Сидры, медовуха, пуаре
Сидры, медовуха, пуаре;Сидры, медовуха, пуаре;Пакеты для перепродажи;Чипсы;Заправки;Пиво производства России и СНГ;Лимонады;Современная молочная продукция;Живое и разливное пиво;Соки, нектары, морсы, компоты;Традиционная молочная продукция
Скатерти, салфетки, прихватки;Скатерти, салфетки, прихватки;Полотенца;Традиционная молочная продукция;Фрукты и ягоды;Туалетная бумага, полотенца, салфетки, скатерти;Конфеты;Пакеты для перепродажи;Заправки;Чай;Сыры полутвердые сычужные
Слесарно-монтажный инструмент;Слесарно-монтажный инструмент;Другой ручной инструмент и инвентарь;Столярный и плотницкий инструмент;Пакеты для перепродажи;Автопринадлежности;Заправки;Автохимия и автокосметика;Колбасы;Яйцо куриное свежее;Фрукты и ягоды
Современная молочная продукция;Современная молочная продукция;Традиционная молочная продукция;Пакеты для перепродажи;Фрукты и ягоды;Сыры полутвердые сычужные;Печенье;Конфеты;Курица охлажденная;Заправки;Колбасы
Соки, нектары, морсы, компоты;Соки, нектары, морсы, компоты;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Современная молочная продукция;Колбасы;Фрукты и ягоды;Конфеты;Овощи;Печенье
Сокосодержащие безалкогольные напитки;Сокосодержащие безалкогольные напитки;Соки, нектары, морсы, компоты;Жевательная резинка и освежающие драже;Вода питьевая;Пакеты для перепродажи;Шоколадные плитки;Рыба соленая собственная упаковка, самообслуживание;Фрукты и ягоды;Сыры копченые;Лимонады
Сокосодержащие напитки и коктейли;Сокосодержащие напитки и коктейли;Лимонады;Чипсы;Пакеты для перепродажи;Соки, нектары, морсы, компоты;Жевательная резинка и освежающие драже;Шоколадные батончики;Современная молочная продукция;Сухарики фасованные;Шоколадные плитки
Сокосодержащие слабоалкогольные напитки;Сокосодержащие слабоалкогольные напитки;Другие слабоалкогольные напитки;Водка;Солодосодержащие безалкогольные напитки;Рыба копченая обслуживание;Холодные блюда готовые, обслуживание;Сосиски, сардельки, колбаски;Джин-тоники слабоалкогольные;Холодные блюда готовые с Фабрики Кухни, обслуживание;Яйцо куриное свежее
Солодосодержащие безалкогольные напитки;Солодосодержащие безалкогольные напитки;Пакеты для перепродажи;Традиционная молочная продукция;Сыры копченые;Колбасы;Сосиски, сардельки, колбаски;Хлеб, промышленное производство;Лимонады;Фрукты и ягоды;Сыры полутвердые сычужные
Сопутствующие товары для дачи;Сопутствующие товары для дачи;Фрукты и ягоды;Посадочный материал;Грунты, удобрения, средства;Традиционная молочная продукция;Садовый инвентарь, оборудование  и техника;Деликатесы мясные;Заправки;Чай;Конфеты
Сосиски, сардельки, колбаски;Сосиски, сардельки, колбаски;Традиционная молочная продукция;Колбасы;Пакеты для перепродажи;Курица охлажденная;Заправки;Хлеб, промышленное производство;Фрукты и ягоды;Сыры полутвердые сычужные;Макаронные изделия
Спортивные игры с мячом;Спортивные игры с мячом;Другие замороженные полуфабрикаты фирменная упаковка;Продукты для беременных и кормящих мам;Сопутствующие товары для дачи;Замороженные фрукты, овощи, ягоды, грибы фирменная упаковка;Горячие блюда готовые, обслуживание;Замороженные готовые блюда;Выпечные и сдобные изделия, производство ФК;Горячие блюда готовые с Фабрики Кухни, обслуживание;Расходные материалы
Средства для бритья и депиляции;Средства для бритья и депиляции;Пакеты для перепродажи;Средства по уходу за полостью рта;Заправки;Средства по уходу за волосами, аксессуары для волос;Традиционная молочная продукция;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Макаронные изделия;Фрукты и ягоды
Средства для ванны и душа;Средства для ванны и душа;Средства по уходу за волосами, аксессуары для волос;Пакеты для перепродажи;Средства по уходу за полостью рта;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Традиционная молочная продукция;Чай;Женская гигиена;Фрукты и ягоды
Средства для мытья посуды;Средства для мытья посуды;Туалетная бумага, полотенца, салфетки, скатерти;Заправки;Пакеты для перепродажи;Традиционная молочная продукция;Чистящие и моющие средства;Чай;Овощи;Средства для стирки;Макаронные изделия
Средства для обуви и одежды;Средства для обуви и одежды;Пакеты для перепродажи;Средства по уходу за полостью рта;Фрукты и ягоды;Традиционная молочная продукция;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Уборочный инвентарь;Овощи;Сыры полутвердые сычужные
Средства для стирки;Средства для стирки;Туалетная бумага, полотенца, салфетки, скатерти;Традиционная молочная продукция;Заправки;Пакеты для перепродажи;Фрукты и ягоды;Чай;Овощи;Макаронные изделия;Средства по уходу за полостью рта
Средства для туалета;Средства для туалета;Чистящие и моющие средства;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Заправки;Средства по уходу за полостью рта;Традиционная молочная продукция;Фрукты и ягоды;Чай;Сыры полутвердые сычужные
Средства по уходу за волосами, аксессуары для волос;Средства по уходу за волосами, аксессуары для волос;Пакеты для перепродажи;Средства по уходу за полостью рта;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Традиционная молочная продукция;Чай;Фрукты и ягоды;Конфеты;Женская гигиена
Средства по уходу за лицом;Средства по уходу за лицом;Универсальные гигиенические средства;Средства по уходу за волосами, аксессуары для волос;Средства по уходу за полостью рта;Женская гигиена;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Традиционная молочная продукция;Фрукты и ягоды;Средства по уходу за руками и ногами
Средства по уходу за полостью рта;Средства по уходу за полостью рта;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Фрукты и ягоды;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Средства по уходу за волосами, аксессуары для волос;Сыры полутвердые сычужные;Курица охлажденная
Средства по уходу за руками и ногами;Средства по уходу за руками и ногами;Средства по уходу за лицом;Средства по уходу за полостью рта;Средства по уходу за волосами, аксессуары для волос;Фрукты и ягоды;Традиционная молочная продукция;Туалетная бумага, полотенца, салфетки, скатерти;Универсальные гигиенические средства;Чай;Конфеты
Средства по уходу за телом;Средства по уходу за телом;Средства по уходу за лицом;Средства для ванны и душа;Средства по уходу за волосами, аксессуары для волос;Средства по уходу за полостью рта;Пакеты для перепродажи;Фрукты и ягоды;Средства по уходу за руками и ногами;Женская гигиена;Заправки
Средства по уходу за тканями;Средства по уходу за тканями;Средства для стирки;Чистящие и моющие средства;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Заправки;Традиционная молочная продукция;Средства для мытья посуды;Средства по уходу за волосами, аксессуары для волос;Фрукты и ягоды
Средства связи;Средства связи;Новогодние товары;Восточные сладости;Мужская одежда;Кости пищевые и суповые охлажденные;Консервы фруктовые;Слесарно-монтажный инструмент;Сокосодержащие напитки и коктейли;Соки, нектары, морсы, компоты;Шоколадные батончики
Стельки для обуви;Стельки для обуви;Фрукты и ягоды;Традиционная молочная продукция;Заправки;Конфеты;Чай;Деликатесы мясные;Колбасы;Туалетная бумага, полотенца, салфетки, скатерти;Курица охлажденная
Столовые аксессуары;Столовые аксессуары;Посуда для приготовления;Кухонная утварь;Традиционная молочная продукция;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Фрукты и ягоды;Заправки;Пакеты для перепродажи;Сыры полутвердые сычужные
Столярный и плотницкий инструмент;Столярный и плотницкий инструмент;Слесарно-монтажный инструмент;Другой ручной инструмент и инвентарь;Другие строительные товары;Автопринадлежности;Автохимия и автокосметика;Пакеты для перепродажи;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Чай
